japanese,english
彼は私に、「明日ご連絡できるように、電話番号を私に教えてもらえませんか」と言った。,He asked me to tell him my phone number so that he could contact me the next day.
彼は思っていることを言わなかった。,He didn't say what he was thinking.
声が聞き取りにくいので、もう少し大きな声でお話しください。,I can't hear you very well. Please speak a little louder.
私たちは夕食を食べながら将来の計画について話し合った。,We talked about our future plans over dinner.
彼女は私に自分の子どもたちのことについて、またどんなに自分がその子たちのことを愛しているかについて語った。,She told me about her children and how much she loved them.
オーストラリアでは英語を話す。,They speak English in Australia.
うそをついてはいけません。 本当のことを言いなさい。,Don't tell lies. Tell the truth.
父とその件について話し合いたい。,I want to talk over the matter with my father.
彼は教え子と結婚したと言われている。,People say that he got married to one of his former students.
医者は私に酒とタバコをやめるように言った。,The doctor told me to stop drinking and smoking.
窓の外を見たが，屋根以外何も見えなかった。,"I looked out (of) the window, but I could see nothing but roofs."
耳を澄ませば，外で雨が降っているのが聞こえるよ。,"If you listen carefully, you can hear the rain falling outside."
彼女はそのフットボールの試合に興奮しているように見えた。,She looked excited by the football game.
彼の提案はずいぶん奇妙に聞こえたので，みんなが大笑いをした。,His suggestion sounded so strange that everyone laughed out loud.
私は子どもたちと遊んでいると楽しい。,I feel happy when I play with children.
なぜ彼女がそんなにお金を使うのかわからない。,I cannot understand why she spends so much money.
彼は，自分でも間違えたのはわかっていると言ったが，そのことを申し訳ないとは感じていないようだった。,"He said he realized that he'd made a mistake, but he didn't seem to feel sorry for it."
はじめ彼だとわからなかった。 なぜって，年以上も会っていなかったんだから。,I didn't recognize him at first; I hadn't seen him for more than twenty years.
そのコンピュータはとても高いことがわかった。,I found (that) the computer was very expensive.
いつの間にか彼女はそっと歌を口ずさんでいた。,She found herself singing softly.
先生は彼に一生懸命勉強させた。,The teacher made him study hard.
戻りましたら，彼に電話をかけ直させましょうか。,Shall I have him call you back when he gets back?
彼女はヨーロッパ旅行をしたかったが，父親はどうしても行かせなかった。,"She wanted to go on a trip to Europe, but her father wouldn't let her (go)."
彼らは先輩のユニフォームを洗わされた。,They were made to wash the older players' uniforms.
彼女は歯を抜いてもらったので，とても痛がっていました。,She was in great pain because she had had a tooth pulled out.
ロンドン滞在中は英語でわかってもらうのに苦労した。,During my stay in London I had trouble making myself understood in English.
どうして彼女がまだ代だと思ったのですか。,What made you think that she was still in her twenties?
長らくお待たせしてすみませんでした。,I'm sorry to have kept you waiting so long.
仕事を中途半端にしておいてはいけない。,Don't leave your work half finished.
外国語を勉強すると，他の国の人々の考え方を理解するのに役立つ。,Learning a foreign language helps you (to) understand how people in other countries think.
初めて鯨を見たとき，最初それが何だかわかりませんでした。,"When I saw a whale for the first time, I couldn't tell what it was at first."
ここに来たのは今回が初めてですか？,Is this the first time you've been here?
彼が私のもとを去ってはじめて，自分がいかに深く彼のことを愛しているかに気づいた。,I did not realize how deeply I loved him until he (had) left me.
時まで待っていてください。 それまでには戻りますから。,Please wait until six. I'll be back by that time.
，ヶ月で外国語をものにするなんて，不可能です。,It is impossible to learn a foreign language in a few months.
息子が大学に入学してから一ヶ月ほど後に，彼から私に電話があり，一週間後に帰郷するということを伝えてきた。,"About a month after my son entered university, he gave me a call saying that he would come home in a week."
近ごろはこれまで以上に暮らしにくくなっている。,Nowadays life is getting even harder.
このところ仕事が忙しくて十分な睡眠がとれていないんです。,Recently I haven't had enough sleep because of my job.
一度約束したら，たとえ守るのが難しいとわかっても，破るべきではない。,"Once you make a promise, you should not break it even if you find it hard to keep it."
先日，小学生の時に住んでいた町のことを考えながら，何時間も過ごしてしまった。,The other day I spent many hours thinking about the town where we (had) lived when I was in primary school.
